id,name,description,quota,quotaLoked,quotaFree,status_id,admin_id,organization_id,createdAt,updatedAt,est_actif
1,Prisons Nord,safe_confortable,10000,255,9745,1,2.0,1.0,2023-01-01T08:00:00,2026-04-20T18:00:00,1
2,Prisons Centre,danger_imminent,1800,210,1590,1,3.0,1.0,2023-01-01T08:00:00,2026-04-20T18:00:00,1
3,Prisons Sud,critique_urgent,600,80,520,1,4.0,1.0,2023-01-01T08:00:00,2026-04-20T18:00:00,1
4,Prisons Est,safe_actif,6000,360,5640,1,5.0,1.0,2023-01-01T08:00:00,2026-04-20T18:00:00,1
5,Test / Dev,test_leger,500,0,500,1,6.0,1.0,2023-01-01T08:00:00,2026-04-20T18:00:00,1
6,sqdcc<,ssQSWQzxs,2014,0,2014,1,,,,,1
7,sqdcc<,ssQSWQzxs,2014,0,2014,1,,,,,1
8,sqdcc<,ssQSWQzxs,2014,0,2014,1,,,,,1
9,sqdcc<,ssQSWQzxs,2014,0,2014,1,,,,,1
10,sqdcc<,ssQSWQzxs,2014,0,2014,1,,,,,1
11,sqdcc<,ssQSWQzxs,2014,0,2014,1,,,,,1
12,sqdcc<,ssQSWQzxs,2014,0,2014,1,,,,,1
13,dcd,xxxxx,2222,0,2222,1,,,,,1
14,dd,hyk,2356,0,2356,1,,,,,1
15,ggggg,xssxxxx,4512,0,4512,1,,,,,1
